Ensembl_ID,Gene_Symbol,HNC_WGCNA_Module,OPSCC_WGCNA_Module,VSCC_WGCNA_Module,HNC_log2FC,OPSCC_log2FC,VSCC_log2FC,Stouffer_Score,SD,Included_in_35_Gene_Signature
ENSG00000165125,TRPV6,brown,turquoise,brown,2.1,0.1,1.93,5.14,0.98,Yes
ENSG00000166897,ELFN2,turquoise,turquoise,grey,-1.2,-0.11,-0.04,-5.09,1.06,Yes
ENSG00000211897,IGHG3,blue,brown,red,2.34,2.32,0.03,5.09,1.06,Yes
ENSG00000124134,KCNS1,blue,black,green,2.75,0.1,2.56,5.08,1.02,Yes
ENSG00000211592,IGKC,blue,brown,red,2.83,2.28,0.02,5.08,1.95,Yes
ENSG00000172264,MACROD2,blue,black,grey,1.86,2.14,0.03,5.01,1.9,Yes
ENSG00000077935,SMC1B,turquoise,black,green,6.27,0.12,0.01,18.15,15.38,No
ENSG00000167077,MEI1,turquoise,black,grey,5.4,2.84,-0.01,16.77,13.09,No
ENSG00000166670,MMP10,turquoise,turquoise,grey,-8.53,-0.03,-0.02,-15.62,11.25,No
ENSG00000293423,ABCA17P,turquoise,black,green,5.64,2.29,0.01,15.28,11.6,No
ENSG00000137745,MMP13,turquoise,turquoise,grey,-10.17,-0.02,0,-14.38,12.5,No
ENSG00000087494,PTHLH,turquoise,brown,grey,-6.22,-0.26,-0.01,-14.07,9.61,No
ENSG00000175874,CREG2,blue,turquoise,grey,-7.36,-0.06,-0.02,-13.13,11.16,No
ENSG00000286010,LOC105375754,blue,black,grey,-4.62,-2.03,-0.05,-12.71,7.78,No
ENSG00000238266,LINC00707,turquoise,grey,grey,-4.32,-4.72,-0.01,-12.58,6.05,No
ENSG00000011332,DPF1,turquoise,turquoise,grey,-4.83,-0.13,0.01,-12.19,9.71,No
ENSG00000196167,COLCA1,brown,brown,grey,6.18,4.57,0.03,11.95,5.19,No
ENSG00000196632,WNK3,turquoise,turquoise,green,3.94,0.16,0.02,11.83,10.04,No
ENSG00000100024,UPB1,brown,black,grey,5.83,3.78,0,11.81,6.3,No
ENSG00000175592,FOSL1,turquoise,yellow,grey,-3.84,-0.22,-0.01,-11.64,7.33,No
ENSG00000070729,CNGB1,turquoise,grey,grey,-6.13,-0.09,0.01,-11.58,9.97,No
ENSG00000123080,CDKN2C,turquoise,black,green,3.19,1.57,0.06,11.45,6.66,No
ENSG00000197993,KEL,brown,brown,Not in network,6.14,0.11,0.02,11.37,7.49,No
ENSG00000118156,ZNF541,turquoise,black,green,5.33,2.97,0.01,11.34,6.36,No
ENSG00000150477,KIAA1328,Not in network,Not in network,Not in network,1.96,0.3,0.04,11.15,9.61,No
ENSG00000082293,COL19A1,brown,brown,grey,6.54,5.77,0.01,10.86,5.26,No
ENSG00000102387,TAF7L,turquoise,brown,grey,5.48,4.42,0.01,10.82,5.37,No
ENSG00000261115,TMEM178B,turquoise,brown,Not in network,4.75,1.96,0,10.74,8.15,No
ENSG00000211937,IGHV2-5,blue,brown,red,4.81,3.94,0.02,10.6,6.22,No
ENSG00000198168,SVIP,turquoise,black,grey,3.36,1.77,0.02,10.48,6.83,No
ENSG00000127561,SYNGR3,turquoise,black,brown,3.72,1.53,1.29,10.45,5.6,No
